DOR Code,Municipality,Fiscal Year,Residential,Open Space,Commercial,Industrial,Personal Property,Rate_Diff
137,Holyoke,2025,17.46,0.0,38.55,38.55,38.55,21.089999999999996
138,Hopedale,2025,16.61,0.0,27.47,27.47,27.47,10.86
139,Hopkinton,2025,14.18,0.0,14.16,14.16,14.16,-0.019999999999999574
140,Hubbardston,2025,11.68,0.0,11.68,11.68,11.68,0.0
141,Hudson,2025,13.88,0.0,27.11,27.11,27.11,13.229999999999999
142,Hull,2025,11.2,0.0,11.2,11.2,11.2,0.0
143,Huntington,2025,15.4,0.0,15.4,15.4,15.4,0.0
144,Ipswich,2025,11.15,0.0,11.15,11.15,11.15,0.0
145,Kingston,2025,12.97,0.0,12.97,12.97,12.97,0.0
146,Lakeville,2025,10.35,0.0,10.35,10.35,10.35,0.0
147,Lancaster,2025,16.16,0.0,16.16,16.16,16.16,0.0
148,Lanesborough,2025,16.73,0.0,16.73,16.73,16.73,0.0
149,Lawrence,2025,8.8,0.0,18.41,18.41,18.41,9.61
150,Lee,2025,11.25,0.0,11.25,11.25,11.25,0.0
151,Leicester,2025,11.77,0.0,11.77,11.77,11.77,0.0
152,Lenox,2025,9.05,0.0,13.18,13.18,13.18,4.129999999999999
153,Leominster,2025,14.03,14.03,14.03,14.03,14.03,0.0
154,Leverett,2025,15.18,0.0,15.18,15.18,15.18,0.0
155,Lexington,2025,12.23,0.0,24.26,24.26,24.26,12.030000000000001
156,Leyden,2025,15.28,0.0,15.28,15.28,15.28,0.0
157,Lincoln,2025,12.81,0.0,19.55,19.55,19.55,6.74
158,Littleton,2025,14.86,0.0,22.94,22.94,22.94,8.080000000000002
159,Longmeadow,2025,21.12,0.0,21.12,21.12,21.12,0.0
160,Lowell,2025,11.48,0.0,22.37,22.37,22.37,10.89
161,Ludlow,2025,17.35,0.0,17.35,17.35,17.35,0.0
162,Lunenburg,2025,14.36,0.0,14.36,14.36,14.36,0.0
163,Lynn,2025,10.36,0.0,19.86,19.86,19.86,9.5
164,Lynnfield,2025,10.56,0.0,19.18,19.18,19.18,8.62
165,Malden,2025,11.32,0.0,17.53,17.53,17.53,6.210000000000001
166,Manchester By The Sea,2025,9.15,0.0,9.15,9.15,9.15,0.0
167,Mansfield,2025,13.17,0.0,20.05,20.05,20.05,6.880000000000001
168,Marblehead,2025,9.05,0.0,9.05,9.05,9.05,0.0
169,Marion,2025,9.32,0.0,9.32,9.32,9.32,0.0
170,Marlborough,2025,9.86,0.0,16.96,16.96,16.96,7.100000000000001
171,Marshfield,2025,9.9,0.0,9.9,9.9,9.9,0.0
172,Mashpee,2025,6.42,6.13,6.13,6.13,6.13,-0.29000000000000004
173,Mattapoisett,2025,10.76,0.0,10.76,10.76,10.76,0.0
174,Maynard,2025,17.83,0.0,24.14,24.14,24.14,6.310000000000002
175,Medfield,2025,13.8,0.0,13.8,13.8,13.8,0.0
176,Medford,2025,8.8,0.0,16.94,16.94,16.94,8.14
177,Medway,2025,14.25,0.0,14.25,14.25,14.25,0.0
178,Melrose,2025,9.9,0.0,17.75,17.75,17.75,7.85
179,Mendon,2025,13.39,0.0,13.36,13.36,13.36,-0.030000000000001137
180,Merrimac,2025,13.25,0.0,13.25,13.25,13.25,0.0
181,Methuen,2025,10.58,0.0,20.55,20.55,20.55,9.97
182,Middleborough,2025,13.41,0.0,14.21,14.21,14.21,0.8000000000000007
183,Middlefield,2025,18.24,0.0,18.24,18.24,18.24,0.0
184,Middleton,2025,11.89,0.0,11.89,11.89,11.89,0.0
185,Milford,2025,12.8,0.0,23.25,23.25,23.25,10.45
186,Millbury,2025,13.39,0.0,13.39,13.39,13.39,0.0
187,Millis,2025,16.4,0.0,16.4,16.4,16.4,0.0
188,Millville,2025,13.19,0.0,13.19,13.19,13.19,0.0
189,Milton,2025,11.09,0.0,16.93,16.93,16.93,5.84
190,Monroe,2025,8.99,0.0,20.37,20.37,20.37,11.38
191,Monson,2025,14.87,0.0,14.87,14.87,14.87,0.0
192,Montague,2025,15.21,0.0,24.26,24.26,24.26,9.05
193,Monterey,2025,6.44,0.0,6.44,6.44,6.44,0.0
194,Montgomery,2025,11.34,0.0,11.34,11.34,11.34,0.0
195,Mount Washington,2025,6.08,0.0,6.08,6.08,6.08,0.0
196,Nahant,2025,9.15,0.0,9.15,9.15,9.15,0.0
197,Nantucket,2025,3.28,3.11,5.56,5.56,5.56,2.28
198,Natick,2025,11.96,0.0,11.96,11.96,11.96,0.0
199,Needham,2025,10.6,0.0,20.91,20.91,20.91,10.31
200,New Ashford,2025,5.66,0.0,5.66,5.66,5.66,0.0
201,New Bedford,2025,11.31,0.0,22.85,22.85,22.85,11.540000000000001
202,New Braintree,2025,14.86,0.0,14.86,14.86,14.86,0.0
203,New Marlborough,2025,6.94,0.0,6.94,6.94,6.94,0.0
204,New Salem,2025,13.58,0.0,13.58,13.58,13.58,0.0
205,Newbury,2025,7.45,0.0,7.45,7.45,7.45,0.0
206,Newburyport,2025,9.58,9.58,9.58,9.58,9.58,0.0
207,Newton,2025,9.8,0.0,18.34,18.34,18.34,8.54
208,Norfolk,2025,15.97,15.97,15.97,15.97,15.97,0.0
209,North Adams,2025,16.71,0.0,35.21,35.21,35.21,18.5
210,North Andover,2025,11.26,0.0,15.82,15.82,15.82,4.5600000000000005
211,North Attleborough,2025,11.79,0.0,15.72,15.72,15.68,3.9300000000000015
212,North Brookfield,2025,14.17,0.0,14.17,14.17,14.17,0.0
213,North Reading,2025,13.06,0.0,13.06,13.06,13.06,0.0
214,Northampton,2025,13.93,0.0,13.93,13.93,13.93,0.0
215,Northborough,2025,14.25,0.0,14.25,14.25,14.25,0.0
216,Northbridge,2025,11.79,0.0,11.79,11.79,11.79,0.0
217,Northfield,2025,13.84,0.0,13.84,13.84,13.84,0.0
218,Norton,2025,12.97,0.0,13.79,13.79,13.79,0.8199999999999985
219,Norwell,2025,13.07,0.0,13.07,13.07,13.07,0.0
220,Norwood,2025,10.52,0.0,24.06,24.06,24.06,13.54
221,Oak Bluffs,2025,5.05,0.0,4.91,4.91,4.91,-0.13999999999999968
222,Oakham,2025,11.55,0.0,11.55,11.55,11.55,0.0
223,Orange,2025,16.45,0.0,16.45,16.45,16.45,0.0
224,Orleans,2025,6.24,0.0,6.24,6.24,6.24,0.0
225,Otis,2025,6.46,0.0,6.46,6.46,6.46,0.0
226,Oxford,2025,12.67,0.0,14.23,14.23,14.23,1.5600000000000005
227,Palmer,2025,16.48,0.0,16.48,16.48,16.48,0.0
228,Paxton,2025,14.74,0.0,14.74,14.74,14.74,0.0
229,Peabody,2025,9.26,0.0,19.02,19.02,19.02,9.76
230,Pelham,2025,16.97,0.0,16.97,16.97,16.97,0.0
231,Pembroke,2025,12.02,0.0,12.02,12.02,12.02,0.0
232,Pepperell,2025,14.63,0.0,14.63,14.63,14.63,0.0
233,Peru,2025,15.95,0.0,15.95,15.95,15.95,0.0
234,Petersham,2025,14.49,0.0,14.49,14.49,14.49,0.0
235,Phillipston,2025,11.27,0.0,11.27,11.27,11.27,0.0
236,Pittsfield,2025,17.94,0.0,37.96,37.96,37.96,20.02
237,Plainfield,2025,18.48,0.0,18.48,18.48,18.48,0.0
238,Plainville,2025,11.56,0.0,18.78,18.78,18.78,7.220000000000001
239,Plymouth,2025,12.69,0.0,12.69,12.69,12.69,0.0
240,Plympton,2025,15.89,0.0,15.89,15.89,15.89,0.0
241,Princeton,2025,14.53,0.0,14.53,14.53,14.53,0.0
242,Provincetown,2025,5.6,0.0,5.22,5.22,5.22,-0.3799999999999999
243,Quincy,2025,11.53,0.0,23.01,23.01,23.01,11.480000000000002
244,Randolph,2025,11.61,0.0,22.15,22.15,22.15,10.54
245,Raynham,2025,12.1,0.0,16.33,16.33,16.33,4.229999999999999
246,Reading,2025,11.39,0.0,12.67,12.67,12.67,1.2799999999999994
247,Rehoboth,2025,11.15,0.0,11.15,11.15,11.15,0.0
248,Revere,2025,9.07,0.0,18.05,18.05,18.05,8.98
249,Richmond,2025,9.88,0.0,9.88,9.88,9.88,0.0
250,Rochester,2025,10.82,0.0,10.82,10.82,10.82,0.0
251,Rockland,2025,13.67,0.0,13.67,13.67,13.67,0.0
252,Rockport,2025,8.76,0.0,8.76,8.76,8.76,0.0
253,Rowe,2025,5.14,0.0,11.01,11.01,11.01,5.87
254,Rowley,2025,11.77,11.77,11.77,11.77,11.77,0.0
255,Royalston,2025,9.62,0.0,9.62,9.62,9.62,0.0
256,Russell,2025,18.3,0.0,18.3,18.3,18.3,0.0
257,Rutland,2025,14.24,0.0,14.24,14.24,14.24,0.0
258,Salem,2025,11.34,0.0,22.62,22.62,22.62,11.280000000000001
259,Salisbury,2025,10.08,0.0,10.08,10.08,10.08,0.0
260,Sandisfield,2025,9.02,0.0,14.68,14.68,14.6,5.66
261,Sandwich,2025,10.57,0.0,10.57,10.57,10.57,0.0
262,Saugus,2025,10.68,0.0,21.96,21.96,21.96,11.280000000000001
263,Savoy,2025,16.62,0.0,16.62,16.62,16.62,0.0
264,Scituate,2025,9.99,0.0,9.99,9.99,9.99,0.0
265,Seekonk,2025,12.35,0.0,26.35,26.35,26.31,14.000000000000002
266,Sharon,2025,17.48,0.0,17.48,17.48,17.48,0.0
267,Sheffield,2025,12.11,0.0,12.11,12.11,12.11,0.0
268,Shelburne,2025,12.84,0.0,12.84,12.84,12.84,0.0
269,Sherborn,2025,16.58,0.0,16.58,16.58,16.58,0.0
270,Shirley,2025,12.97,0.0,12.97,12.97,12.97,0.0
271,Shrewsbury,2025,12.04,0.0,12.04,12.04,12.04,0.0
272,Shutesbury,2025,15.83,0.0,15.8,15.8,15.8,-0.02999999999999936
273,Somerset,2025,13.3,0.0,26.44,26.44,26.44,13.14
274,Somerville,2025,10.91,0.0,18.92,18.92,18.92,8.010000000000002
275,South Hadley,2025,13.98,13.98,13.98,13.98,13.98,0.0
276,Southampton,2025,14.17,0.0,14.17,14.17,14.17,0.0
277,Southborough,2025,13.81,0.0,13.81,13.81,13.81,0.0
278,Southbridge,2025,14.66,0.0,14.66,14.66,14.66,0.0
279,Southwick,2025,15.57,0.0,15.57,15.57,15.57,0.0
280,Spencer,2025,11.74,0.0,11.74,11.74,11.74,0.0
281,Springfield,2025,15.68,0.0,35.22,35.22,35.22,19.54
282,Sterling,2025,12.88,0.0,12.88,12.88,12.88,0.0
283,Stockbridge,2025,7.09,0.0,7.09,7.09,7.09,0.0
284,Stoneham,2025,10.23,0.0,19.4,19.4,19.4,9.169999999999998
