District,Code,InDistrict_Exp,InDistrict_FTE,InDistrict_PerPupil,Total_Exp,Total_FTE,Total_PerPupil
Salem,2580000,92424756.28,3771.7,24504.8,107251885.5,4435.3,24181.43
Salem Academy Charter (District),4850000,9441302.39,487.2,19377.11,9441302.39,487.2,19377.11
Sandwich,2610000,52643616.0,2162.1,24348.37,59776441.24,2458.3,24316.17
Saugus,2620000,45544735.66,2590.0,17584.84,55599294.81,2995.0,18564.04
Savoy,2630000,1152463.23,40.0,28811.58,1340764.2,56.9,23563.52
Scituate,2640000,53460995.14,2753.0,19419.18,57569318.02,2802.7,20540.66
Seekonk,2650000,37453476.87,2064.5,18141.67,41120806.6,2116.5,19428.68
Sharon,2660000,69485682.95,3611.4,19240.65,75580912.8,3688.1,20493.18
Shawsheen Valley Regional Vocational Technical,8710000,37587067.0,1259.4,29845.22,37609736.47,1264.1,29752.18
Sherborn,2690000,8780774.0,410.1,21411.3,9976050.0,416.8,23934.86
Shrewsbury,2710000,100882364.8,5914.9,17055.63,109116766.1,6116.9,17838.57
Shutesbury,2720000,3030950.0,122.7,24702.12,3204282.26,141.7,22613.14
Silver Lake,7600000,35735868.8,1566.9,22806.73,37046677.48,1656.4,22365.78
Sizer School: A North Central Charter Essential (District),4740000,5908808.09,348.0,16977.87,5908808.09,348.0,16977.87
Somerset,2730000,30856757.57,1632.8,18898.06,32658419.0,1687.5,19353.14
Somerset Berkley Regional School District,7630000,17439234.53,982.4,17751.66,19995397.67,1028.3,19445.1
Somerville,2740000,128047381.8,4887.9,26196.81,144552297.5,5302.0,27263.73
South Hadley,2780000,30880128.96,1677.6,18407.33,37855127.08,1982.0,19099.46
South Middlesex Regional Vocational Technical,8290000,24622534.74,822.5,29936.21,24622534.74,824.5,29863.6
South Shore Charter Public (District),4880000,18438030.0,1059.7,17400.11,18438030.0,1059.7,17400.11
South Shore Regional Vocational Technical,8730000,17576074.73,640.6,27436.89,17576074.73,640.6,27436.89
Southampton,2750000,6786731.0,484.5,14007.7,8683090.69,569.1,15257.58
Southborough,2760000,28205818.0,1279.0,22053.02,30939558.0,1306.6,23679.44
Southbridge,2770000,43874358.98,1828.7,23992.1,51291557.48,2228.0,23021.35
Southeastern Regional Vocational Technical,8720000,38142450.0,1551.0,24592.17,38142450.0,1552.9,24562.08
Southern Berkshire,7650000,19834387.67,605.3,32767.86,21040861.5,750.5,28035.79
Southern Worcester County Regional Vocational School District,8760000,25126121.0,1146.6,21913.59,25422842.78,1200.2,21182.17
Southwick-Tolland-Granville Regional School District,7660000,25289725.27,1331.9,18987.71,28098961.45,1434.0,19594.81
Spencer-E Brookfield,7670000,25070241.49,1404.1,17855.03,29658730.51,1687.3,17577.63
Springfield,2810000,602987697.9,23763.4,25374.64,708947250.7,29415.2,24101.39
Springfield International Charter (District),4410000,20858045.12,1521.8,13705.81,20858045.12,1521.8,13705.81
Springfield Preparatory Charter School (District),35100000,9029432.78,483.3,18684.42,9029432.78,483.3,18684.42
Stoneham,2840000,45463907.66,2265.0,20072.37,52147746.16,2493.9,20910.12
Stoughton,2850000,67538427.03,3578.1,18875.5,75334841.44,3801.6,19816.61
Sturbridge,2870000,15430481.0,888.5,17366.89,18372845.0,927.9,19800.46
Sturgis Charter Public (District),4890000,15530906.0,832.2,18662.69,15530906.0,832.2,18662.69
Sudbury,2880000,53245385.0,2565.0,20758.43,55154273.0,2601.4,21201.77
Sunderland,2890000,4842956.96,183.9,26334.73,5146639.65,207.2,24838.99
Sutton,2900000,23327497.49,1288.3,18107.19,26040876.8,1358.4,19170.26
Swampscott,2910000,40315001.0,2037.0,19791.36,46081954.5,2169.5,21240.82
Swansea,2920000,33058911.11,1996.1,16561.75,34704217.7,2076.9,16709.62
TEC Connections Academy Commonwealth Virtual School District,39020000,32985926.0,2944.9,11201.03,32985926.0,2944.9,11201.03
Tantasqua,7700000,30277696.0,1720.6,17597.17,30677716.53,1784.9,17187.36
Taunton,2930000,133515634.3,7950.5,16793.36,153317204.4,8421.0,18206.53
Tewksbury,2950000,64647828.93,3263.1,19811.78,75076701.01,3440.9,21818.91
Tisbury,2960000,10380448.72,273.1,38009.7,11808735.15,377.3,31298.0
Topsfield,2980000,11995823.0,634.2,18914.89,12195360.0,639.2,19079.1
Tri-County Regional Vocational Technical,8780000,24052796.0,946.9,25401.62,24062796.0,949.9,25331.93
Triton,7730000,50039024.0,2191.2,22836.36,55494225.06,2383.2,23285.59
Truro,3000000,5124645.95,98.9,51816.44,7714413.64,199.9,38591.36
Tyngsborough,3010000,28496847.0,1569.4,18157.8,32522468.62,1719.7,18911.71
UP Academy Charter School of Boston (District),4800000,7423130.0,207.5,35772.71,7423130.0,207.5,35772.71
UP Academy Charter School of Dorchester (District),35050000,10777588.04,608.0,17725.19,10777588.04,608.0,17725.19
Up-Island Regional,7740000,13706667.99,414.5,33067.96,15060589.42,474.7,31726.54
Upper Cape Cod Regional Vocational Technical,8790000,20350119.0,708.9,28706.61,20366952.71,712.6,28581.19
Uxbridge,3040000,31970805.54,1637.0,19530.12,36994960.25,1802.9,20519.7
Veritas Preparatory Charter School (District),4980000,11449308.59,488.9,23420.42,11449308.59,488.9,23420.42
Wachusett,7750000,108722504.6,6723.0,16171.72,121507275.9,6993.7,17373.82
Wakefield,3050000,66129075.95,3296.9,20057.96,70816435.25,3428.1,20657.63
Wales,3060000,2220806.28,97.1,22871.33,2925035.46,129.7,22552.32
Walpole,3070000,70051652.51,3663.0,19124.12,74245038.01,3759.2,19750.22
Waltham,3080000,139237560.0,5703.3,24413.51,147261160.8,5900.0,24959.52
Ware,3090000,22345027.8,1109.3,20143.36,25360546.84,1328.0,19096.8
Wareham,3100000,45749934.85,1992.2,22964.53,54245631.77,2371.2,22876.87
Watertown,3140000,66951931.0,2683.0,24954.13,77689247.79,2813.6,27612.04
Wayland,3150000,59935502.31,2757.6,21734.66,62808371.32,2801.4,22420.35
Webster,3160000,33871982.0,1712.1,19783.88,39148982.45,1986.3,19709.5
Wellesley,3170000,109122594.9,4165.4,26197.39,116839000.2,4234.7,27590.86
Wellfleet,3180000,3686333.39,94.3,39091.55,4000886.0,114.5,34942.24
West Boylston,3220000,17087579.45,865.5,19743.01,19788688.36,954.0,20742.86
West Bridgewater,3230000,20933013.73,1405.4,14894.7,22891238.21,1449.4,15793.6
West Springfield,3320000,68978424.57,3905.8,17660.51,76093084.5,4111.0,18509.63
Westborough,3210000,75495273.1,3853.5,19591.35,80076039.69,3921.1,20421.83
Westfield,3250000,87431372.0,4838.1,18071.43,96874212.01,5160.8,18771.16
Westford,3260000,78886850.5,4739.1,16645.96,85172275.82,4832.1,17626.35
Westhampton,3270000,2489021.0,104.6,23795.61,3029784.0,123.5,24532.66
Weston,3300000,59656523.57,2016.7,29581.26,63500271.71,2047.6,31012.05
Westport,3310000,27523722.0,1465.9,18775.99,30762169.89,1617.9,19013.64
Westwood,3350000,67607983.0,2900.8,23306.67,70581846.76,2934.6,24051.61
Weymouth,3360000,100835299.0,5526.6,18245.45,118037484.0,5962.0,19798.3
Whately,3370000,2965611.46,130.0,22812.4,3060543.46,139.0,22018.3
Whitman-Hanson,7800000,60420621.0,3506.3,17232.02,66412582.95,3649.7,18196.72
Whittier Regional Vocational Technical,8850000,30180303.0,1274.5,23680.11,30249605.0,1277.3,23682.46
Williamsburg,3400000,2876452.0,128.4,22402.27,3663844.03,175.5,20876.6
Wilmington,3420000,63367007.61,2799.0,22639.16,70619474.54,2896.7,24379.28
Winchendon,3430000,22565441.84,1238.6,18218.51,25238357.44,1412.0,17874.19
Winchester,3440000,77496210.45,4304.8,18002.28,83395813.97,4385.8,19014.96
Winthrop,3460000,33080174.06,1950.7,16958.1,35864671.51,2004.8,17889.4
Woburn,3470000,94093579.73,4289.4,21936.3,105328116.5,4516.7,23319.71
Worcester,3480000,501140676.4,24319.6,20606.45,568546854.0,27234.8,20875.75
Worthington,3490000,1904264.0,75.5,25222.04,2822565.38,142.1,19863.23
Wrentham,3500000,17626509.66,920.9,19140.53,19059388.49,981.1,19426.55
